,Census Tract ID,Lon,Lat,Distance from CBD,Number of historical sites,Change in children,Change in households,Moved recently,Working women change
42,8031002703,-104.97305825699993,39.74000491700008,1.184763685943449,2,166.801,-491.0,95.0,1225.08
43,8031003102,-104.95978531299994,39.74650100200006,1.8474689593430582,1,-139.236,-584.0,79.0,1007.53
44,8031003201,-104.96870597399993,39.74001423000004,1.4085834308812613,1,-25.05600000000001,-313.0,158.0,557.714
45,8031003202,-104.96566900699992,39.729094742000086,1.8765835337680947,1,-179.454,-481.0,105.0,967.116
46,8031003203,-104.95930876599994,39.71565706500007,2.7470764391005154,1,-32.572,-322.0,53.0,595.4399999999999
47,8031003300,-104.95405133299994,39.73241499900007,2.3138335156172203,1,-39.204999999999984,-186.0,176.0,359.55999999999995
48,8031003401,-104.97077337199994,39.71774634900004,2.253055464692229,1,24.511999999999944,-132.0,188.0,1036.064
49,8031003402,-104.95932805899992,39.70749036600006,3.1825141617599053,1,-248.88,-285.0,145.0,1784.731
50,8031003500,-104.94048699399991,39.79107706600007,4.291990030320198,1,66.86400000000003,-165.0,112.0,219.67999999999995
51,8031002801,-104.97293904499992,39.72728428000005,1.6651894049760523,1,497.048,-202.0,52.0,240.25599999999997
52,8031002802,-104.98038398799991,39.711478999000065,2.419129699456332,1,96.93999999999983,-558.0,176.0,1336.882
53,8031002803,-104.9731505129999,39.71787599700008,2.1771805603616876,1,-97.39100000000002,-127.0,70.0,-2343.7560000000003
54,8031002901,-104.98424998199994,39.71114748800005,2.3859344050367763,2,-1.5540000000000305,-207.0,119.0,-1069.4180000000001
55,8031002902,-104.97339289899992,39.71110900000008,2.581749116915484,1,-172.026,-585.0,119.0,-531.9240000000004
56,8031003001,-104.98209155299992,39.69661409300005,3.390526266068013,2,39.321999999999974,-236.0,26.0,657.6279999999999
57,8031003002,-104.97837396199992,39.67853504400006,4.652809042685393,1,171.38,-142.0,155.0,513.278
58,8031003003,-104.96894295399994,39.68760285800005,4.174729922121879,1,234.45000000000005,-179.0,210.0,199.94999999999993
59,8031003004,-104.95939319999991,39.67847246100007,4.943584973862317,1,51.00899999999996,-166.0,137.0,421.905
