GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
1400000US08031001702,08031001702,"Census Tract 17.02, Denver County, Colorado",49735,14709
1400000US08031001800,08031001800,"Census Tract 18, Denver County, Colorado",36500,13490
1400000US08031001901,08031001901,"Census Tract 19.01, Denver County, Colorado",18920,3829
1400000US08031001902,08031001902,"Census Tract 19.02, Denver County, Colorado",113750,46913
1400000US08031002000,08031002000,"Census Tract 20, Denver County, Colorado",51432,11955
1400000US08031002100,08031002100,"Census Tract 21, Denver County, Colorado",47010,4286
1400000US08031002300,08031002300,"Census Tract 23, Denver County, Colorado",41538,1803
1400000US08031002402,08031002402,"Census Tract 24.02, Denver County, Colorado",51500,20745
1400000US08031002403,08031002403,"Census Tract 24.03, Denver County, Colorado",31385,12844
1400000US08031002601,08031002601,"Census Tract 26.01, Denver County, Colorado",31275,2658
1400000US08031002602,08031002602,"Census Tract 26.02, Denver County, Colorado",49316,7339
1400000US08031002701,08031002701,"Census Tract 27.01, Denver County, Colorado",31357,5511
1400000US08031002702,08031002702,"Census Tract 27.02, Denver County, Colorado",42684,4083
1400000US08031002703,08031002703,"Census Tract 27.03, Denver County, Colorado",34830,4906
1400000US08031002801,08031002801,"Census Tract 28.01, Denver County, Colorado",64712,6290
1400000US08031002802,08031002802,"Census Tract 28.02, Denver County, Colorado",48053,6038
1400000US08031002803,08031002803,"Census Tract 28.03, Denver County, Colorado",47766,7934
1400000US08031002901,08031002901,"Census Tract 29.01, Denver County, Colorado",53484,12588
1400000US08031002902,08031002902,"Census Tract 29.02, Denver County, Colorado",84683,10719
1400000US08031003001,08031003001,"Census Tract 30.01, Denver County, Colorado",72561,9971
1400000US08031003002,08031003002,"Census Tract 30.02, Denver County, Colorado",72672,12791
1400000US08031003003,08031003003,"Census Tract 30.03, Denver County, Colorado",32000,5370
1400000US08031003004,08031003004,"Census Tract 30.04, Denver County, Colorado",52417,12684
1400000US08031003101,08031003101,"Census Tract 31.01, Denver County, Colorado",51371,17737
1400000US08031003102,08031003102,"Census Tract 31.02, Denver County, Colorado",26958,3389
1400000US08031003201,08031003201,"Census Tract 32.01, Denver County, Colorado",43488,6382
1400000US08031003202,08031003202,"Census Tract 32.02, Denver County, Colorado",47035,13261
1400000US08031003203,08031003203,"Census Tract 32.03, Denver County, Colorado",130321,20918
1400000US08031003300,08031003300,"Census Tract 33, Denver County, Colorado",102368,8522
1400000US08031003401,08031003401,"Census Tract 34.01, Denver County, Colorado",94891,16837
1400000US08031003402,08031003402,"Census Tract 34.02, Denver County, Colorado",102690,7441
1400000US08031003500,08031003500,"Census Tract 35, Denver County, Colorado",32116,3329
1400000US08031003601,08031003601,"Census Tract 36.01, Denver County, Colorado",34212,5353
1400000US08031003602,08031003602,"Census Tract 36.02, Denver County, Colorado",35506,6781
1400000US08031003603,08031003603,"Census Tract 36.03, Denver County, Colorado",49982,14034
1400000US08031003701,08031003701,"Census Tract 37.01, Denver County, Colorado",62960,12313
1400000US08031003702,08031003702,"Census Tract 37.02, Denver County, Colorado",43534,5420
1400000US08031003703,08031003703,"Census Tract 37.03, Denver County, Colorado",49375,12987
1400000US08031003800,08031003800,"Census Tract 38, Denver County, Colorado",75673,25200
1400000US08031003901,08031003901,"Census Tract 39.01, Denver County, Colorado",149231,23005
1400000US08031003902,08031003902,"Census Tract 39.02, Denver County, Colorado",88305,11386
1400000US08031004002,08031004002,"Census Tract 40.02, Denver County, Colorado",86563,12169
1400000US08031004003,08031004003,"Census Tract 40.03, Denver County, Colorado",59122,5290
1400000US08031004004,08031004004,"Census Tract 40.04, Denver County, Colorado",86042,13724
1400000US08031004005,08031004005,"Census Tract 40.05, Denver County, Colorado",36667,4740
1400000US08031004006,08031004006,"Census Tract 40.06, Denver County, Colorado",57000,17494
1400000US08031004101,08031004101,"Census Tract 41.01, Denver County, Colorado",31150,7325
1400000US08031004102,08031004102,"Census Tract 41.02, Denver County, Colorado",33054,9581
1400000US08031004103,08031004103,"Census Tract 41.03, Denver County, Colorado",83109,10295
1400000US08031004104,08031004104,"Census Tract 41.04, Denver County, Colorado",45573,11323
1400000US08031004106,08031004106,"Census Tract 41.06, Denver County, Colorado",133393,15303
1400000US08031004107,08031004107,"Census Tract 41.07, Denver County, Colorado",84405,14923
1400000US08031004201,08031004201,"Census Tract 42.01, Denver County, Colorado",85000,15272
1400000US08031004202,08031004202,"Census Tract 42.02, Denver County, Colorado",109617,9240
1400000US08031004301,08031004301,"Census Tract 43.01, Denver County, Colorado",37381,7930
1400000US08031004302,08031004302,"Census Tract 43.02, Denver County, Colorado",72553,9336
1400000US08031004303,08031004303,"Census Tract 43.03, Denver County, Colorado",153571,28710
1400000US08031004304,08031004304,"Census Tract 43.04, Denver County, Colorado",80000,16224
1400000US08031004306,08031004306,"Census Tract 43.06, Denver County, Colorado",69936,13920
1400000US08031004403,08031004403,"Census Tract 44.03, Denver County, Colorado",41991,5464
1400000US08031004404,08031004404,"Census Tract 44.04, Denver County, Colorado",30620,5317
1400000US08031004405,08031004405,"Census Tract 44.05, Denver County, Colorado",63955,6884
1400000US08031004503,08031004503,"Census Tract 45.03, Denver County, Colorado",31807,8062
1400000US08031004504,08031004504,"Census Tract 45.04, Denver County, Colorado",26108,4332
1400000US08031004505,08031004505,"Census Tract 45.05, Denver County, Colorado",31997,6206
1400000US08031004506,08031004506,"Census Tract 45.06, Denver County, Colorado",24375,8277
1400000US08031004601,08031004601,"Census Tract 46.01, Denver County, Colorado",43675,9111
1400000US08031004602,08031004602,"Census Tract 46.02, Denver County, Colorado",36719,5421
1400000US08031004603,08031004603,"Census Tract 46.03, Denver County, Colorado",44375,8704
1400000US08031004700,08031004700,"Census Tract 47, Denver County, Colorado",52440,5425
1400000US08031004801,08031004801,"Census Tract 48.01, Denver County, Colorado",57734,5481
1400000US08031005001,08031005001,"Census Tract 50.01, Denver County, Colorado",50233,4759
1400000US08031005002,08031005002,"Census Tract 50.02, Denver County, Colorado",32224,4665
1400000US08031005102,08031005102,"Census Tract 51.02, Denver County, Colorado",56000,7390
1400000US08031005104,08031005104,"Census Tract 51.04, Denver County, Colorado",30915,2877
1400000US08031005200,08031005200,"Census Tract 52, Denver County, Colorado",62011,16763
1400000US08031005300,08031005300,"Census Tract 53, Denver County, Colorado",30038,4853
1400000US08031005502,08031005502,"Census Tract 55.02, Denver County, Colorado",58966,11305
1400000US08031005503,08031005503,"Census Tract 55.03, Denver County, Colorado",57546,8570
1400000US08031006701,08031006701,"Census Tract 67.01, Denver County, Colorado",44205,16933
1400000US08031006804,08031006804,"Census Tract 68.04, Denver County, Colorado",73750,14299
1400000US08031006809,08031006809,"Census Tract 68.09, Denver County, Colorado",48954,4415
1400000US08031006810,08031006810,"Census Tract 68.10, Denver County, Colorado",55435,6944
1400000US08031006811,08031006811,"Census Tract 68.11, Denver County, Colorado",47203,5760
1400000US08031006812,08031006812,"Census Tract 68.12, Denver County, Colorado",45530,6156
1400000US08031006813,08031006813,"Census Tract 68.13, Denver County, Colorado",30905,5418
1400000US08031006814,08031006814,"Census Tract 68.14, Denver County, Colorado",46516,9079
1400000US08031006901,08031006901,"Census Tract 69.01, Denver County, Colorado",25768,4999
1400000US08031007006,08031007006,"Census Tract 70.06, Denver County, Colorado",27341,3652
1400000US08031007013,08031007013,"Census Tract 70.13, Denver County, Colorado",55377,4579
1400000US08031007037,08031007037,"Census Tract 70.37, Denver County, Colorado",27439,5684
1400000US08031007088,08031007088,"Census Tract 70.88, Denver County, Colorado",37393,7419
1400000US08031007089,08031007089,"Census Tract 70.89, Denver County, Colorado",25436,4221
1400000US08031008304,08031008304,"Census Tract 83.04, Denver County, Colorado",43571,8978
1400000US08031008305,08031008305,"Census Tract 83.05, Denver County, Colorado",42639,8847
1400000US08031008306,08031008306,"Census Tract 83.06, Denver County, Colorado",42321,4806
1400000US08031008312,08031008312,"Census Tract 83.12, Denver County, Colorado",34918,8672
1400000US08031008386,08031008386,"Census Tract 83.86, Denver County, Colorado",48281,5333
1400000US08031008387,08031008387,"Census Tract 83.87, Denver County, Colorado",48900,14619
1400000US08031008388,08031008388,"Census Tract 83.88, Denver County, Colorado",50205,6800
1400000US08031008389,08031008389,"Census Tract 83.89, Denver County, Colorado",81595,10296
1400000US08031008390,08031008390,"Census Tract 83.90, Denver County, Colorado",55511,1721
1400000US08031008391,08031008391,"Census Tract 83.91, Denver County, Colorado",70463,3704
1400000US08031011902,08031011902,"Census Tract 119.02, Denver County, Colorado",45510,5364
1400000US08031011903,08031011903,"Census Tract 119.03, Denver County, Colorado",59427,9802
1400000US08031012001,08031012001,"Census Tract 120.01, Denver County, Colorado",52468,39880
1400000US08031012010,08031012010,"Census Tract 120.10, Denver County, Colorado",57615,7019
1400000US08031012014,08031012014,"Census Tract 120.14, Denver County, Colorado",60039,5904
1400000US08031015300,08031015300,"Census Tract 153, Denver County, Colorado",41224,8044
1400000US08031015400,08031015400,"Census Tract 154, Denver County, Colorado",53512,9140
1400000US08031015500,08031015500,"Census Tract 155, Denver County, Colorado",27865,4007
1400000US08031015600,08031015600,"Census Tract 156, Denver County, Colorado",30076,7904
1400000US08031015700,08031015700,"Census Tract 157, Denver County, Colorado",45444,12567
1400000US08031980000,08031980000,"Census Tract 9800, Denver County, Colorado",41552,12846
1400000US08031980100,08031980100,"Census Tract 9801, Denver County, Colorado",-,**
