GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
1400000US08031000502,08031000502,"Census Tract 5.02, Denver County, Colorado",1435,183,1428,185,22,36,14,24,0,16,69,69,56,84,93,88,88,84,44,51,114,74,51,50,99,88,57,49,120,99,16,27,103,83,27,42,16,26,53,41,205,135,116,83,50,46,15,24,0,16,0,16,7,12
1400000US08031000600,08031000600,"Census Tract 6, Denver County, Colorado",1177,106,1161,104,0,11,0,11,0,11,26,33,32,51,34,37,0,11,0,11,0,11,31,48,31,41,144,87,62,57,63,55,55,36,189,88,102,66,126,70,74,48,67,43,110,57,15,20,0,11,0,11,16,25
1400000US08031000701,08031000701,"Census Tract 7.01, Denver County, Colorado",1418,140,1382,141,0,11,0,11,42,52,74,46,14,17,18,19,56,45,65,37,61,44,56,50,41,39,89,57,44,45,176,93,70,63,169,92,76,49,141,66,34,31,118,67,38,34,0,11,0,11,0,11,36,35
1400000US08031000702,08031000702,"Census Tract 7.02, Denver County, Colorado",1513,148,1513,148,20,24,32,43,64,59,121,75,66,50,0,16,23,25,37,36,46,49,18,28,22,35,51,37,33,41,76,54,134,88,163,93,108,78,186,77,144,67,145,65,13,20,0,16,11,18,0,16,0,16
1400000US08031000800,08031000800,"Census Tract 8, Denver County, Colorado",406,45,406,45,65,43,22,30,28,28,81,43,32,30,22,20,5,9,20,15,0,11,15,24,8,12,5,8,36,41,14,21,17,28,14,15,0,11,14,21,8,13,0,11,0,11,0,11,0,11,0,11,0,11
1400000US08031000902,08031000902,"Census Tract 9.02, Denver County, Colorado",609,93,592,90,0,16,0,16,0,16,58,34,26,29,0,16,6,10,12,21,8,13,19,21,10,17,11,17,0,16,11,17,30,41,6,11,21,27,230,85,102,74,42,38,0,16,0,16,0,16,0,16,17,19
1400000US08031000903,08031000903,"Census Tract 9.03, Denver County, Colorado",877,137,877,137,0,16,0,16,0,16,12,15,0,16,0,16,17,28,0,16,0,16,12,18,32,38,0,16,0,16,22,30,52,49,179,97,55,49,303,104,150,94,35,31,0,16,8,13,0,16,0,16,0,16
1400000US08031000904,08031000904,"Census Tract 9.04, Denver County, Colorado",1246,123,1222,128,6,12,0,16,9,14,123,62,35,33,17,18,18,28,19,21,15,17,9,15,7,11,85,63,53,44,33,37,168,69,231,84,116,65,210,77,68,45,0,16,0,16,0,16,0,16,0,16,24,28
1400000US08031000905,08031000905,"Census Tract 9.05, Denver County, Colorado",475,108,462,106,0,11,0,11,0,11,0,11,0,11,24,37,0,11,0,11,0,11,0,11,16,24,13,21,7,11,0,11,22,26,21,33,44,42,181,79,75,45,38,30,21,30,0,11,0,11,0,11,13,20
1400000US08031001000,08031001000,"Census Tract 10, Denver County, Colorado",662,120,635,125,0,11,0,11,21,31,89,69,67,49,0,11,0,11,0,11,0,11,0,11,10,18,24,38,11,18,44,43,50,53,0,11,67,64,157,84,48,52,47,63,0,11,0,11,0,11,0,11,27,43
1400000US08031001101,08031001101,"Census Tract 11.01, Denver County, Colorado",482,69,482,69,82,48,9,9,21,24,0,11,11,12,15,22,13,14,0,11,9,14,10,11,12,14,0,11,0,11,20,25,42,32,45,35,21,21,33,27,79,45,47,32,6,10,7,9,0,11,0,11,0,11
1400000US08031001102,08031001102,"Census Tract 11.02, Denver County, Colorado",1061,124,1046,124,0,11,0,11,0,11,36,25,12,19,0,11,10,15,7,11,0,11,0,11,21,33,0,11,9,14,81,52,6,11,31,37,25,29,66,46,154,80,337,88,204,97,47,36,0,11,0,11,15,17
1400000US08031001301,08031001301,"Census Tract 13.01, Denver County, Colorado",676,122,610,110,0,16,28,45,8,14,0,16,8,13,17,18,0,16,0,16,0,16,27,42,0,16,9,13,0,16,29,35,52,52,92,63,61,66,175,96,62,55,33,34,9,15,0,16,0,16,0,16,66,71
1400000US08031001302,08031001302,"Census Tract 13.02, Denver County, Colorado",582,134,508,135,0,11,0,11,0,11,0,11,16,24,0,11,0,11,0,11,0,11,0,11,5,7,45,47,70,61,9,14,0,11,64,56,0,11,88,58,120,70,24,26,67,69,0,11,0,11,0,11,74,55
1400000US08031001401,08031001401,"Census Tract 14.01, Denver County, Colorado",1014,121,964,129,10,17,0,16,0,16,199,67,34,33,19,21,15,16,70,62,0,16,56,53,49,47,17,27,91,54,29,27,9,14,19,21,68,58,77,67,131,72,51,44,20,26,0,16,0,16,0,16,50,44
1400000US08031001402,08031001402,"Census Tract 14.02, Denver County, Colorado",664,110,653,114,0,11,37,48,32,22,72,42,0,11,0,11,19,21,0,11,0,11,6,10,0,11,0,11,9,15,31,40,28,44,30,28,75,56,134,85,129,94,20,25,31,51,0,11,0,11,0,11,11,19
1400000US08031001403,08031001403,"Census Tract 14.03, Denver County, Colorado",1145,132,1145,132,0,11,13,22,0,11,0,11,36,32,7,10,8,13,0,11,14,18,29,42,33,39,8,12,9,15,43,44,31,40,125,75,46,46,231,98,170,79,256,92,78,65,8,14,0,11,0,11,0,11
1400000US08031001500,08031001500,"Census Tract 15, Denver County, Colorado",657,101,635,99,6,10,22,32,22,27,24,27,8,13,18,19,7,12,12,18,14,22,13,19,18,20,27,39,44,46,7,12,11,9,77,51,92,58,101,60,87,43,4,11,0,11,21,30,0,11,0,11,22,24
1400000US08031001600,08031001600,"Census Tract 16, Denver County, Colorado",3685,374,3685,374,0,18,0,18,0,18,25,41,0,18,0,18,0,18,0,18,0,18,0,18,11,33,232,248,52,60,0,18,244,158,30,35,137,86,416,275,608,223,1156,347,602,224,103,60,69,83,0,18,0,18
1400000US08031001701,08031001701,"Census Tract 17.01, Denver County, Colorado",2409,237,2409,237,57,59,0,16,29,47,155,73,90,102,58,70,80,65,22,27,21,32,0,16,5,11,0,16,113,104,11,19,43,41,9,14,47,58,32,37,192,127,813,201,379,139,188,98,51,47,14,22,0,16
1400000US08031001702,08031001702,"Census Tract 17.02, Denver County, Colorado",1661,247,1661,247,70,52,0,11,0,11,14,22,67,106,16,25,16,28,0,11,13,22,0,11,0,11,22,34,65,63,31,35,24,29,73,67,120,102,231,128,276,130,282,139,204,129,121,112,0,11,16,27,0,11
1400000US08031001800,08031001800,"Census Tract 18, Denver County, Colorado",1135,125,1107,126,0,11,0,11,44,34,105,55,92,45,18,21,13,19,14,16,10,16,0,11,11,16,7,11,19,31,17,26,30,43,46,42,12,13,134,72,199,82,336,78,0,11,0,11,0,11,0,11,28,36
1400000US08031001901,08031001901,"Census Tract 19.01, Denver County, Colorado",742,109,707,110,24,26,0,11,28,31,205,98,60,39,9,16,46,45,34,29,14,16,32,35,41,46,19,23,19,22,5,9,0,11,20,23,31,33,52,38,51,45,14,17,0,11,0,11,3,5,0,11,35,37
1400000US08031001902,08031001902,"Census Tract 19.02, Denver County, Colorado",24,22,24,22,0,11,0,11,0,11,0,11,0,11,0,11,4,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,8,0,11,0,11,12,20,0,11,0,11,0,11,0,11,0,11
1400000US08031002000,08031002000,"Census Tract 20, Denver County, Colorado",907,112,907,112,39,62,10,15,0,11,59,70,0,11,0,11,0,11,10,16,0,11,28,34,0,11,0,11,0,11,56,34,0,11,49,48,64,55,60,47,53,34,188,77,139,64,57,39,68,40,27,26,0,11
1400000US08031002100,08031002100,"Census Tract 21, Denver County, Colorado",1723,213,1693,206,18,28,0,16,13,21,115,82,0,16,71,94,81,65,15,26,0,16,16,25,47,44,38,47,82,96,73,52,67,91,237,123,210,123,84,71,70,48,219,100,164,108,51,37,13,21,9,15,30,36
1400000US08031002300,08031002300,"Census Tract 23, Denver County, Colorado",1001,191,936,193,0,16,14,22,0,16,69,84,16,26,16,25,0,16,8,12,14,24,0,16,14,23,0,16,12,20,45,70,44,39,153,109,73,80,163,96,82,73,124,98,14,22,75,67,0,16,0,16,65,77
1400000US08031002402,08031002402,"Census Tract 24.02, Denver County, Colorado",486,71,486,71,20,25,5,8,0,11,38,23,0,11,10,11,5,8,16,25,15,22,21,27,21,25,21,27,0,11,27,29,13,14,44,29,19,18,24,27,35,33,87,37,49,37,10,11,0,11,6,9,0,11
1400000US08031002403,08031002403,"Census Tract 24.03, Denver County, Colorado",1442,178,1417,179,37,44,0,11,60,59,174,70,30,27,20,25,17,30,94,94,8,13,31,55,10,17,49,76,0,11,24,38,30,27,73,52,113,69,315,112,165,80,127,74,9,15,0,11,31,37,0,11,25,40
1400000US08031002601,08031002601,"Census Tract 26.01, Denver County, Colorado",2094,164,2094,164,58,74,0,11,16,25,111,60,135,62,105,84,12,20,112,98,30,34,49,80,31,33,9,14,28,34,42,34,81,53,208,116,144,78,234,107,221,99,343,115,103,79,10,17,0,11,12,19,0,11
1400000US08031002602,08031002602,"Census Tract 26.02, Denver County, Colorado",1412,78,1396,80,64,57,17,27,12,18,0,11,7,12,27,43,8,12,0,11,68,56,11,17,7,10,65,57,25,24,16,18,49,44,27,25,26,25,276,89,181,78,307,107,203,82,0,11,0,11,0,11,16,18
1400000US08031002701,08031002701,"Census Tract 27.01, Denver County, Colorado",3192,157,3157,172,49,52,0,11,0,11,57,61,29,33,14,24,33,51,12,20,41,37,67,67,163,124,46,47,260,114,208,94,289,117,584,169,382,141,531,168,249,96,117,56,26,28,0,11,0,11,0,11,35,52
1400000US08031002702,08031002702,"Census Tract 27.02, Denver County, Colorado",2539,204,2513,200,30,33,0,16,0,16,41,47,30,34,0,16,30,48,0,16,45,56,111,86,35,57,63,64,81,53,84,64,58,56,439,164,259,104,617,173,363,142,196,101,23,22,0,16,0,16,8,14,26,32
1400000US08031002703,08031002703,"Census Tract 27.03, Denver County, Colorado",2890,186,2816,198,17,27,0,16,42,39,233,114,38,51,48,43,15,23,51,36,0,16,0,16,59,47,144,70,204,99,252,114,175,112,234,91,407,142,389,122,266,113,194,145,37,45,11,19,0,16,0,16,74,86
1400000US08031002801,08031002801,"Census Tract 28.01, Denver County, Colorado",966,107,951,110,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,30,35,17,17,25,24,55,47,51,51,29,33,91,55,86,64,160,82,175,93,133,55,73,41,26,25,0,11,0,11,15,19
1400000US08031002802,08031002802,"Census Tract 28.02, Denver County, Colorado",2086,239,2048,241,0,11,0,11,0,11,31,37,35,37,0,11,0,11,33,37,39,39,58,77,116,86,76,59,109,97,204,112,123,75,368,149,229,122,283,116,236,107,85,56,0,11,23,36,0,11,0,11,38,43
1400000US08031002803,08031002803,"Census Tract 28.03, Denver County, Colorado",2409,198,2379,199,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,33,28,10,16,86,52,103,85,74,46,103,63,241,101,335,155,629,176,309,126,202,89,116,73,34,28,49,44,55,43,30,37
1400000US08031002901,08031002901,"Census Tract 29.01, Denver County, Colorado",705,103,664,110,0,11,0,11,0,11,0,11,0,11,0,11,10,17,0,11,9,14,0,11,10,15,17,18,9,14,26,23,44,32,99,56,76,60,95,47,80,58,129,65,40,28,9,14,11,17,0,11,41,46
1400000US08031002902,08031002902,"Census Tract 29.02, Denver County, Colorado",726,137,685,128,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,13,0,11,14,16,16,15,28,45,10,16,10,16,26,22,108,79,112,54,236,88,109,81,0,11,8,13,0,11,41,50
