GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US08031008386,08031008386,"Census Tract 83.86, Denver County, Colorado",1263,302
1400000US08031008387,08031008387,"Census Tract 83.87, Denver County, Colorado",1385,72
1400000US08031008388,08031008388,"Census Tract 83.88, Denver County, Colorado",992,78
1400000US08031008389,08031008389,"Census Tract 83.89, Denver County, Colorado",1423,244
1400000US08031008390,08031008390,"Census Tract 83.90, Denver County, Colorado",1153,86
1400000US08031008391,08031008391,"Census Tract 83.91, Denver County, Colorado",1629,249
1400000US08031011902,08031011902,"Census Tract 119.02, Denver County, Colorado",827,62
1400000US08031011903,08031011903,"Census Tract 119.03, Denver County, Colorado",1015,293
1400000US08031012001,08031012001,"Census Tract 120.01, Denver County, Colorado",661,47
1400000US08031012010,08031012010,"Census Tract 120.10, Denver County, Colorado",921,84
1400000US08031012014,08031012014,"Census Tract 120.14, Denver County, Colorado",964,46
1400000US08031015300,08031015300,"Census Tract 153, Denver County, Colorado",758,74
1400000US08031015400,08031015400,"Census Tract 154, Denver County, Colorado",1048,208
1400000US08031015500,08031015500,"Census Tract 155, Denver County, Colorado",747,41
1400000US08031015600,08031015600,"Census Tract 156, Denver County, Colorado",644,109
1400000US08031015700,08031015700,"Census Tract 157, Denver County, Colorado",836,80
1400000US08031980000,08031980000,"Census Tract 9800, Denver County, Colorado",1050,501
1400000US08031980100,08031980100,"Census Tract 9801, Denver County, Colorado",-,**
