LDMK_NUM,LDMK_NAME,AKA_NAME,ORD_NUM,ORD_YEAR,ADDRESS_LINE1,ADDRESS_LINE2,SITUS_NUM,SITUS_DIR,SITUS_ST,SITUS_TYPE,HISTORIC_DIST,STATE_HIST_NUM,YEAR_BUILT,ARCH_BLDR,DOCUMENT,PHOTO_LINK,NOTES,GIS_NOTES,DESCRIPTION,ADDRESS_ID
248.0,Sherman School,Art Students League,753,1995,200 Grant Street,None,200,None,Grant ,ST,Not in Historic District,5DV.2086,"1893, addition 1920",None,None,None, ,None,None,None
249.0,3147 Umatilla Street,Alexander Cowie House,900,1995,3147 Umatilla Street,None,3147,None,Umatilla,ST,Not in Historic District,5DV.358.36,1888,None,None,None, ,None,None,None
131.0,Lowry Chapel No. 1,Eisenhower Chapel,26,1982,Lowry Air Force Base,293 Roslyn Street,293,None,Roslyn,ST,Not in Historic District,5DV.193,1941,None,None,None, ,None,None,None
335.0,Gulliver-Lynch House,None,506,2014,227 S. Lincoln Street,None,227,S,Lincoln,ST,200 Block South Lincoln Street,None,None,None,None,None, ,None,None,None
114.0,"Thomas M. Field House demolished, site still designated",None,79,1979,E. Iliff Avenue and S. Clarkson Street,None,None,None,None,None,Not in Historic District,None,1893,None,None,None,None,Do Not Count (Site Still Designated),None,None
180.0,Park Hill Library,None,524,1989,4705 Montview Boulevard,None,2000,None,Dexter,ST,Not in Historic District,None,1920,None,None,None, ,None,None,None
187.0,Annunciation Church,None,343,1990,3601 Humboldt Street,None,3601,None,Humboldt,ST,Not in Historic District,5DV.3287,1904-07,None,None,None, ,None,None,None
189.0,Greeters of America National Home,None,404,1990,1740 and 1760 Ulster Street,1740-1762 Ulster Street,1740,None,Ulster ,ST,Not in Historic District,5DV.3401,c. 1899,None,None,None, ,None,None,None
190.0,Moffat Station,None,405,1990,2101 15th Street,None,2101,None,15th,ST,Not in Historic District,5DV.195,1906,None,None,None, ,None,None,None
191.0,"Field Officer's Quarters, Fort Logan",None,702,1990,3742 W. Princeton Circle,None,3742,W,Princeton,CIR,Not in Historic District,5DV.694.11,1889,None,None,None, ,None,None,None
195.0,Stevens Elementary School,None,756,1991,1140 Columbine Street,None,1140,None,Columbine,ST,Not in Historic District,5DV.720,1900-01,None,None,None, ,None,None,None
200.0,Smedley Elementary School,None,340,1992,4250 Shoshone Street,None,4250,None,Shoshone,ST,Not in Historic District,5DV.2072,"1902, addition 1911",None,None,None, ,None,None,None
203.0,Ashley Elementary School,None,896,1992,1914 Syracuse Street,None,1914,None,Syracuse,ST,Not in Historic District,5DV.2068,"1930, addition 1951",None,None,None, ,None,None,None
207.0,Cody House,None,445,1993,2932 Lafayette Street,None,2932,None,Lafayette,ST,Not in Historic District,5DV.7008,1892,None,None,None, ,None,None,None
23.0,Pope-Thompson-Wasson House,None,166,1972,1320 Race Street,None,1320,None,Race,ST,Wyman,None,c. 1894,None,None,None, ,None,None,None
334.0,Beth Eden Baptist Church,None,292,2014,3241 Lowell Boulevard,3257 Lowell Boulevard,3241,None,Lowell,BLVD,Not in Historic District,5DV.10643,"1931, addn 1940-42, 1951 ",None,None,None, ,None,None,None
319.0,Kappler-Cannon-Fieger Home,None,65,2007,1904 Kearney Street,None,1904,N,Kearney,ST,Not in Historic District,None,1912,None,None,None, ,None,None,None
333.0,Dr. Margaret Long House,None,183,2013,2070 Colorado Boulevard,None,2070,N,Colorado,BLVD,Not in Historic District,5DV.66,c. 1908,None,None,None, ,None,None,18343
58.0,Taylor House,None,81,1974,945 Pennsylvania Street,945-949 Pennsylvania Street,945,None,Pennsylvania,ST,Quality Hill,5DV.5403,1900,None,None,None, ,None,None,None
209.0,Whitehead/Peabody House,None,534,1993,1128 Grant Street,None,1128,None,Grant ,ST,Not in Historic District,5DV.6954,1889,None,None,None, ,None,None,None
25.0,Pearce-McAllister Cottage,None,328,1972,1880 Gaylord Street,None,1880,None,Gaylord,ST,Not in Historic District,5DV.126,1899,None,None,None, ,None,None,None
305.0,Norman Apartment Building,None,564,2002,99 S. Downing Street,None,99,S,Downing,ST,Not in Historic District,5DV.1707,1924,None,None,None, ,None,None,None
306.0,Cameron Methodist Church,None,736,2003,1600 S. Pearl Street,None,1600,S,Pearl,ST,Not in Historic District,5DV.825,1909-13,None,None,None, ,None,None,None
307.0,Neahr House,None,92,2004,1017 S. Race Street,None,1017,S,Race,ST,Not in Historic District,None,1894,None,None,None, ,None,None,None
76.0,Adams-Fitzell House,None,72,1975,1359 Race Street,None,1359,None,Race,ST,Wyman,None,1891-92,None,None,None, ,None,None,None
289.0,Highlands United Methodist Church,None,547,1998,3131 Osceola Street,None,3131,None,Osceola,ST,Wolff Place,5DV.632,"1922, addn1925-26,1950-51",None,None,None, ,None,None,None
33.0,Croke-Patterson-Campbell House,Patterson Inn,457,1973,420-428 E. 11th Avenue,None,420,E,11th,AVE,Pennsylvania Street,5DV.172,c. 1890-92,None,None,None, ,None,None,None
252.0,Conine-Horan House,None,903,1995,2839 Wyandot Street,None,2839,None,Wyandot,ST,Not in Historic District,5DV.358.88,1892,None,None,None, ,None,None,None
254.0,1305 Elizabeth Street,Lorenzo Benson House,945,1995,1305 Elizabeth Street,None,1301,None,Elizabeth,ST,Not in Historic District,None,1893,None,None,None, ,None,None,None
257.0,Elyria School,None,56,1996,4725 High Street,None,4725,None,High,ST,Not in Historic District,5DV.36,1924,None,None,None, ,None,None,None
259.0,Cranmer House,None,197,1996,200 Cherry Street,None,200,None,Cherry ,ST,Not in Historic District,None,1916-17,None,None,None, ,None,None,None
